Customer ID,Segment,churn_prob,future_ltv,num_transactions,total_spend,days_since_last_purchase,Recency,Frequency,Monetary
12383,At Risk,0.45616013,0.0,5,1850.56,184,185,5,1850.56
12384,New Customers,0.7749894,585.27,2,585.27,28,29,2,585.27
12385,At Risk,0.7966205,0.0,1,1938.4,378,379,1,1938.4
12386,At Risk,0.5102441,0.0,2,660.8,337,338,2,660.8
12387,Low Value,0.8045614,0.0,1,143.94,414,415,1,143.94
12388,Core Customers,0.22196472,2014.41,8,3901.11,15,16,8,3901.11
12389,At Risk,0.5403566,0.0,3,1433.33,402,403,3,1433.33
12390,New Customers,0.7778555,549.84,1,549.84,79,80,1,549.84
12391,Core Customers,0.045640517,460.89,6,2773.42,21,22,6,2773.42
12392,Low Value,0.7985076,0.0,1,234.75000000000003,590,591,1,234.75000000000003
12393,Core Customers,0.49530593,521.5,6,2399.4500000000003,71,72,6,2399.4500000000003
12394,New Customers,0.6342547,891.4,2,1272.48,63,64,2,1272.48
12395,Core Customers,0.17180988,1448.91,15,5067.27,18,19,15,5067.27
12396,Low Value,0.7192281,0.0,1,931.43,673,674,1,931.43
12397,New Customers,0.6148935,2409.9,2,2409.9,35,36,2,2409.9
12398,New Customers,0.741446,1635.6599999999999,1,1635.6599999999999,45,46,1,1635.6599999999999
12399,Core Customers,0.4450838,209.62,7,1962.3,118,119,7,1962.3
12400,Low Value,0.7653026,0.0,1,205.25,413,414,1,205.25
12401,Low Value,0.80455005,0.0,1,84.3,302,303,1,84.3
12402,At Risk,0.5478588,0.0,6,1256.9,322,323,6,1256.9
12403,New Customers,0.7789856,427.7,2,1019.36,49,50,2,1019.36
12404,Low Value,0.9213934,0.0,1,63.24,681,682,1,63.24
12405,At Risk,0.7279705,1710.39,1,1710.39,148,149,1,1710.39
12406,Core Customers,0.0053958106,1794.05,5,6390.36,21,22,5,6390.36
12407,Core Customers,0.48771942,1212.16,5,1708.1200000000001,49,50,5,1708.1200000000001
12408,Core Customers,0.52703965,2050.96,8,4340.7699999999995,32,33,8,4340.7699999999995
12409,Core Customers,0.25278097,4865.59,7,23419.29,78,79,7,23419.29
12410,At Risk,0.72524744,0.0,3,1013.71,308,309,3,1013.71
12411,Low Value,0.7364741,0.0,1,346.9,409,410,1,346.9
12412,Core Customers,0.64602613,1226.88,6,2596.93,74,75,6,2596.93
12413,At Risk,0.7632336,194.20000000000002,4,999.45,66,67,4,999.45
12414,At Risk,0.70939577,0.0,6,952.41,216,217,6,952.41
12415,Champions,0.16510352,74030.63,28,144458.37,23,24,28,144458.37
12416,Low Value,0.7653026,0.0,1,202.56,656,657,1,202.56
12417,Champions,0.0012882389,1750.83,20,6816.91,2,3,20,6816.91
12418,At Risk,0.5241522,668.58,4,2021.2,112,113,4,2021.2
12419,Low Value,0.580564,0.0,2,503.01,385,386,2,503.01
12420,New Customers,0.8039105,600.39,1,600.39,63,64,1,600.39
12421,Core Customers,0.32177776,649.59,6,1098.6,15,16,6,1098.6
12422,Core Customers,0.17278796,565.0600000000001,17,5231.8,95,96,17,5231.8
12423,Core Customers,0.38211843,407.62,10,2622.39,0,1,10,2622.39
12424,At Risk,0.6102591,1760.96,4,3340.03,162,163,4,3340.03
12425,At Risk,0.32474422,777.2,2,1741.41,77,78,2,1741.41
12426,At Risk,0.6687782,0.0,2,1345.21,194,195,2,1345.21
12427,New Customers,0.5062197,522.3,3,1129.3,21,22,3,1129.3
12428,Core Customers,0.1691014,1645.92,9,7956.46,25,26,9,7956.46
12429,Core Customers,0.3265874,2030.92,8,7485.91,8,9,8,7485.91
12430,New Customers,0.7526587,256.4,1,256.4,42,43,1,256.4
12431,Champions,0.0015456966,3328.92,27,10857.97,35,36,27,10857.97
12432,Core Customers,0.43548825,5059.32,5,5059.32,42,43,5,5059.32
12433,Champions,0.20539391,9588.75,10,20581.26,0,1,10,20581.26
12434,At Risk,0.70187336,519.89,3,1103.43,84,85,3,1103.43
12435,Core Customers,0.002152455,3850.9,6,13925.93,79,80,6,13925.93
12436,Low Value,0.6995951,509.01,1,509.01,99,100,1,509.01
12437,Champions,0.0014281246,2976.32,39,12683.4,1,2,39,12683.4
12438,New Customers,0.6543132,2906.85,2,2906.85,13,14,2,2906.85
12439,At Risk,0.40705976,0.0,2,1158.18,682,683,2,1158.18
12440,At Risk,0.74918526,0.0,2,859.2,461,462,2,859.2
12441,Low Value,0.7364741,0.0,1,347.1,366,367,1,347.1
12442,New Customers,0.78777725,172.06,1,172.06,2,3,1,172.06
12443,Low Value,0.6785978,0.0,1,485.31,731,732,1,485.31
12444,Core Customers,0.46289304,5005.46,5,5005.46,20,21,5,5005.46
12445,New Customers,0.38625222,133.4,2,434.98,21,22,2,434.98
12446,New Customers,0.718017,1002.3100000000001,1,1002.3100000000001,57,58,1,1002.3100000000001
12447,Low Value,0.6785978,0.0,1,476.49,242,243,1,476.49
12448,New Customers,0.70984095,449.45,1,449.45,43,44,1,449.45
12449,Core Customers,0.33872437,3208.36,6,4835.89,21,22,6,4835.89
12450,At Risk,0.76245797,197.88,5,688.2,155,156,5,688.2
12451,Core Customers,0.3368594,3727.7,8,12669.88,10,11,8,12669.88
12452,New Customers,0.7526032,430.57,2,430.57,16,17,2,430.57
12453,Low Value,0.67341983,707.09,1,707.09,133,134,1,707.09
12454,Core Customers,0.27123806,3528.34,5,16679.78,55,56,5,16679.78
12455,Core Customers,0.0024543877,503.56,10,5879.95,72,73,10,5879.95
12456,Core Customers,0.56645787,2240.87,3,3181.04,43,44,3,3181.04
12457,Core Customers,0.30407146,1295.98,8,2995.91,65,66,8,2995.91
12458,At Risk,0.384291,505.48,4,1777.49,70,71,4,1777.49
12459,Low Value,0.7238071,0.0,1,454.36,604,605,1,454.36
12460,Low Value,0.7467074,0.0,1,326.65,455,456,1,326.65
12461,At Risk,0.57712936,826.88,2,826.88,93,94,2,826.88
12462,New Customers,0.6292091,427.48,2,1189.59,18,19,2,1189.59
12463,New Customers,0.45012882,696.83,4,1344.78,52,53,4,1344.78
12464,Core Customers,0.530321,667.1999999999999,8,1212.05,9,10,8,1212.05
12465,New Customers,0.75056636,742.1899999999999,2,742.1899999999999,16,17,2,742.1899999999999
12466,Low Value,0.92241436,0.0,1,56.73,681,682,1,56.73
12467,Low Value,0.84486204,0.0,1,132.8,422,423,1,132.8
12468,At Risk,0.45169774,0.0,5,3670.74,187,188,5,3670.74
12469,At Risk,0.48495275,0.0,2,3070.54,522,523,2,3070.54
12470,Low Value,0.7443576,0.0,1,211.95,689,690,1,211.95
12471,Champions,0.0017285412,11426.73,79,39963.79,1,2,79,39963.79
12472,Champions,0.0030753245,3523.27,19,17880.59,31,32,19,17880.59
12473,Core Customers,0.48523843,3266.36,5,3938.5499999999997,28,29,5,3938.5499999999997
12474,Champions,0.0014372166,4656.66,31,12424.45,16,17,31,12424.45
12475,New Customers,0.45560116,723.38,2,1149.64,53,54,2,1149.64
12476,Champions,0.25171965,4371.32,23,14115.41,15,16,23,14115.41
12477,Core Customers,0.05657354,8642.77,9,20276.37,22,23,9,20276.37
12478,New Customers,0.6801448,680.99,1,680.99,3,4,1,680.99
12479,New Customers,0.7628828,527.2,1,527.2,10,11,1,527.2
12480,Core Customers,0.58407193,1694.36,7,5464.85,27,28,7,5464.85
12481,Champions,0.17241144,2495.77,15,12361.39,22,23,15,12361.39
12482,Champions,0.5958858,0.0,29,23691.4,575,576,29,23691.4
12483,Champions,0.0012622128,1170.3700000000001,19,5120.58,16,17,19,5120.58
12484,Core Customers,0.0017027484,3403.05,12,6370.15,32,33,12,6370.15
12485,Low Value,0.67341983,0.0,1,708.1,528,529,1,708.1
12486,At Risk,0.73271847,0.0,1,1037.28,431,432,1,1037.28
12487,Low Value,0.8020174,0.0,1,285.29999999999995,730,731,1,285.29999999999995
12488,New Customers,0.3439733,1298.66,3,1298.66,9,10,3,1298.66
12489,Low Value,0.73286533,0.0,1,334.93,335,336,1,334.93
12490,Champions,0.0019304455,4222.21,21,9823.64,4,5,21,9823.64
12491,New Customers,0.7238071,460.40000000000003,1,460.40000000000003,38,39,1,460.40000000000003
12492,New Customers,0.5537887,263.21000000000004,3,715.21,62,63,3,715.21
12493,Low Value,0.6059995,201.24,2,433.74,165,166,2,433.74
12494,Core Customers,0.24072777,530.46,9,1872.8700000000001,15,16,9,1872.8700000000001
12495,Low Value,0.7285964,0.0,1,357.4,640,641,1,357.4
12496,Low Value,0.8886485,0.0,2,54.09,619,620,2,54.09
12497,Core Customers,0.3241412,1043.1,3,6248.5,81,82,3,6248.5
12498,New Customers,0.5846053,403.70000000000005,3,403.70000000000005,20,21,3,403.70000000000005
12499,Low Value,0.6997447,0.0,1,393.72,559,560,1,393.72
12500,Champions,0.0016224642,3047.62,19,5955.21,22,23,19,5955.21
12501,At Risk,0.8283565,0.0,1,2169.39,336,337,1,2169.39
12502,Core Customers,0.53930455,1881.22,5,3723.87,95,96,5,3723.87
12503,At Risk,0.8033593,0.0,1,1126.0,583,584,1,1126.0
12504,New Customers,0.21730496,482.04999999999995,4,779.05,17,18,4,779.05
12505,At Risk,0.71284765,0.0,1,955.2,408,409,1,955.2
12506,Low Value,0.7947815,0.0,1,73.5,232,233,1,73.5
12507,At Risk,0.48744574,858.65,4,1844.06,133,134,4,1844.06
12508,New Customers,0.7112461,398.27,2,398.27,25,26,2,398.27
12509,Low Value,0.7987082,0.0,1,176.5,283,284,1,176.5
12510,Core Customers,0.36648396,301.52,9,5178.02,142,143,9,5178.02
12511,At Risk,0.7529247,0.0,1,3084.02,428,429,1,3084.02
12512,New Customers,0.8267112,138.03,2,138.03,65,66,2,138.03
12513,Low Value,0.7757226,612.29,1,612.29,112,113,1,612.29
12514,At Risk,0.4560907,0.0,2,1597.76,266,267,2,1597.76
12515,Low Value,0.7030271,0.0,1,383.7,352,353,1,383.7
12516,At Risk,0.42863825,728.86,4,2648.62,77,78,4,2648.62
12517,Core Customers,0.49619594,1735.89,5,2502.84,27,28,5,2502.84
12518,Core Customers,0.35254097,2056.89,5,2056.89,0,1,5,2056.89
12519,New Customers,0.39281163,340.84,2,726.54,63,64,2,726.54
12520,Core Customers,0.4263684,936.7,5,2634.26,78,79,5,2634.26
12521,Low Value,0.8039105,599.68,1,599.68,142,143,1,599.68
12522,New Customers,0.54141426,192.72,2,192.72,38,39,2,192.72
12523,Champions,0.0011292003,1289.58,23,4372.15,18,19,23,4372.15
12524,Champions,0.0017883027,1652.3400000000001,17,11126.11,8,9,17,11126.11
12525,At Risk,0.74362427,0.0,3,973.73,497,498,3,973.73
12526,New Customers,0.37116212,1316.66,3,1316.66,0,1,3,1316.66
12527,At Risk,0.6799353,63.790000000000006,5,735.51,81,82,5,735.51
12528,Core Customers,0.6367173,1161.82,6,1933.48,8,9,6,1933.48
12529,Low Value,0.7902555,0.0,1,316.48,527,528,1,316.48
12530,Core Customers,0.19089206,857.28,9,3759.26,59,60,9,3759.26
12531,New Customers,0.004956946,125.22,2,1933.2,14,15,2,1933.2
12532,New Customers,0.73924613,349.83000000000004,1,349.83000000000004,29,30,1,349.83000000000004
12533,At Risk,0.54869694,0.0,2,1367.89,627,628,2,1367.89
12534,At Risk,0.7885976,1089.18,1,1089.18,130,131,1,1089.18
12535,At Risk,0.7463461,344.9,2,716.35,91,92,2,716.35
12536,Core Customers,0.37542257,12601.830000000002,3,12601.830000000002,42,43,3,12601.830000000002
12537,Low Value,0.68481874,0.0,1,732.94,408,409,1,732.94
12538,New Customers,0.4726388,363.95,2,640.45,28,29,2,640.45
12539,Core Customers,0.0037144173,1050.66,7,11214.75,21,22,7,11214.75
12540,Champions,0.0014253883,6897.72,33,22254.49,19,20,33,22254.49
12541,New Customers,0.73720086,668.78,3,981.18,29,30,3,981.18
12542,Low Value,0.770874,0.0,2,481.88,483,484,2,481.88
12543,At Risk,0.728438,0.0,1,980.25,447,448,1,980.25
12544,New Customers,0.699325,372.7,1,372.7,35,36,1,372.7
12545,New Customers,0.77816284,372.24,2,1000.39,74,75,2,1000.39
12546,New Customers,0.3914276,1161.5,2,1161.5,46,47,2,1161.5
12547,At Risk,0.69041026,0.0,3,383.58,197,198,3,383.58
12548,Low Value,0.74955267,95.19999999999999,1,95.19999999999999,165,166,1,95.19999999999999
12549,At Risk,0.5636831,0.0,6,1575.68,575,576,6,1575.68
12550,New Customers,0.7207609,964.83,1,964.83,78,79,1,964.83
12551,Low Value,0.7812122,0.0,1,168.0,357,358,1,168.0
12552,New Customers,0.7526032,437.82,2,437.82,38,39,2,437.82
12553,Core Customers,0.19518077,1957.66,12,4608.75,7,8,12,4608.75
12554,Low Value,0.6889874,0.0,1,468.5,448,449,1,468.5
12555,Low Value,0.84486204,0.0,1,129.23,681,682,1,129.23
12556,New Customers,0.7972053,603.71,2,603.71,49,50,2,603.71
12557,Core Customers,0.0015809935,7136.34,8,18716.14,15,16,8,18716.14
12558,New Customers,0.76006943,269.96,1,269.96,7,8,1,269.96
12559,At Risk,0.630843,0.0,2,561.71,310,311,2,561.71
12560,New Customers,0.6865295,2134.01,3,2134.01,4,5,3,2134.01
12561,Low Value,0.7946429,0.0,1,238.85,302,303,1,238.85
12562,Core Customers,0.2509628,3336.78,9,4966.92,7,8,9,4966.92
12563,Low Value,0.7632534,0.0,1,249.24,408,409,1,249.24
12564,Low Value,0.7238071,0.0,1,456.9,260,261,1,456.9
12565,Low Value,0.7948252,0.0,1,145.92,288,289,1,145.92
12566,Low Value,0.73924613,351.65,1,351.65,85,86,1,351.65
12567,Champions,0.0019842102,4944.28,15,13709.86,22,23,15,13709.86
12568,Low Value,0.9213934,0.0,1,70.0,644,645,1,70.0
12569,Champions,0.30674458,2818.23,32,4124.69,1,2,32,4124.69
12570,Low Value,0.80455005,0.0,1,77.52,681,682,1,77.52
12571,New Customers,0.7631263,519.61,2,519.61,39,40,2,519.61
12572,New Customers,0.50446445,1020.42,2,1020.42,8,9,2,1020.42
12573,At Risk,0.70244336,0.0,5,717.41,226,227,5,717.41
12574,Low Value,0.7443576,0.0,1,218.45,315,316,1,218.45
12575,At Risk,0.7335247,0.0,2,622.8199999999999,456,457,2,622.8199999999999
12576,Core Customers,0.3899478,894.18,8,2142.72,35,36,8,2142.72
12577,Core Customers,0.0037343183,461.91,8,1653.75,34,35,8,1653.75
12578,Core Customers,0.4391703,1185.85,4,4642.45,20,21,4,4642.45
12579,New Customers,0.69834954,440.42,1,440.42,77,78,1,440.42
12580,At Risk,0.6587599,0.0,2,1052.9,246,247,2,1052.9
12581,New Customers,0.7500537,197.71,1,197.71,39,40,1,197.71
12582,At Risk,0.74790096,0.0,4,1980.4,238,239,4,1980.4
12583,Champions,0.0019072844,3878.81,27,14447.44,2,3,27,14447.44
12584,Core Customers,0.37929198,1715.41,9,2338.15,3,4,9,2338.15
12585,At Risk,0.67608994,0.0,2,2040.1,233,234,2,2040.1
12586,Core Customers,0.0061203763,196.94000000000003,4,2062.67,16,17,4,2062.67
12587,New Customers,0.8045614,144.0,1,144.0,7,8,1,144.0
12588,New Customers,0.3950517,214.89999999999998,4,958.78,38,39,4,958.78
12589,Core Customers,0.0032560055,646.68,8,4695.66,28,29,8,4695.66
12590,At Risk,0.88330483,0.0,2,9864.26,210,211,2,9864.26
12591,At Risk,0.3146471,0.0,3,1352.15,316,317,3,1352.15
12592,Core Customers,0.43217868,205.8,5,2582.66,91,92,5,2582.66
12593,At Risk,0.65950584,182.1,3,418.09999999999997,108,109,3,418.09999999999997
12594,Core Customers,0.11528021,1530.27,15,5090.110000000001,37,38,15,5090.110000000001
12595,Low Value,0.7615696,0.0,1,299.02,504,505,1,299.02
12596,New Customers,0.7280654,348.32,2,618.27,50,51,2,618.27
12597,Core Customers,0.6299836,2382.41,4,3811.22,18,19,4,3811.22
12598,Core Customers,0.04476479,1737.34,11,4534.09,9,10,11,4534.09
12599,Core Customers,0.32122815,568.72,13,2296.72,28,29,13,2296.72
12600,Champions,0.001278788,1283.08,21,5043.92,28,29,21,5043.92
12601,At Risk,0.78171474,0.0,6,681.26,189,190,6,681.26
12602,Low Value,0.7854415,153.12,1,153.12,58,59,1,153.12
12603,New Customers,0.6049297,739.1999999999999,1,739.1999999999999,21,22,1,739.1999999999999
12604,New Customers,0.6787975,75.68,2,254.18,78,79,2,254.18
12605,At Risk,0.44985452,0.0,4,1232.95,375,376,4,1232.95
12606,Low Value,0.8372379,0.0,1,21.0,681,682,1,21.0
12607,New Customers,0.7790268,1579.51,1,1579.51,59,60,1,1579.51
12608,Low Value,0.7159096,0.0,1,415.79,404,405,1,415.79
12609,Core Customers,0.04517062,326.12,9,3435.86,77,78,9,3435.86
12610,Core Customers,0.29523605,2099.54,5,2099.54,22,23,5,2099.54
12611,New Customers,0.76711035,1193.32,1,1193.32,51,52,1,1193.32
12612,New Customers,0.67341983,704.0400000000001,1,704.0400000000001,73,74,1,704.0400000000001
12613,Core Customers,0.001731715,1881.8600000000001,10,6835.07,56,57,10,6835.07
12614,Low Value,0.7992737,0.0,1,315.6,277,278,1,315.6
12615,Core Customers,0.12889647,2291.19,8,5740.98,1,2,8,5740.98
12616,At Risk,0.6909219,457.7,3,1131.1,94,95,3,1131.1
12617,New Customers,0.7285964,355.53,1,355.53,28,29,1,355.53
12618,New Customers,0.7987082,177.31,1,177.31,21,22,1,177.31
12619,Core Customers,0.24320789,3009.58,10,3781.38,15,16,10,3781.38
12620,New Customers,0.45252973,777.75,3,1339.41,14,15,3,1339.41
12621,Champions,0.0014833022,6333.85,35,24775.81,1,2,35,24775.81
12622,Low Value,0.82246923,0.0,1,180.1,231,232,1,180.1
12623,At Risk,0.31894916,0.0,7,3747.84,275,276,7,3747.84
12624,At Risk,0.7395079,641.13,2,641.13,105,106,2,641.13
12625,At Risk,0.40497655,0.0,4,5164.88,211,212,4,5164.88
12626,Core Customers,0.2931129,5346.38,9,6620.48,22,23,9,6620.48
12627,Core Customers,0.41413134,4478.53,7,4478.53,10,11,7,4478.53
12628,New Customers,0.30461705,786.46,3,786.46,3,4,3,786.46
12629,At Risk,0.46687323,0.0,2,1558.22,385,386,2,1558.22
12630,New Customers,0.36346105,1270.88,2,1270.88,9,10,2,1270.88
12631,Core Customers,0.07151461,640.5,6,3481.57,56,57,6,3481.57
12632,At Risk,0.48109737,0.0,2,804.88,520,521,2,804.88
12633,Core Customers,0.4559218,434.43,7,5678.16,58,59,7,5678.16
12634,Low Value,0.45818567,0.0,2,490.0,535,536,2,490.0
12635,At Risk,0.4273829,1689.18,4,2930.41,89,90,4,2930.41
12636,Low Value,0.8045614,0.0,1,141.0,738,739,1,141.0
12637,Core Customers,0.30018613,3630.15,12,8340.31,66,67,12,8340.31
12638,New Customers,0.17183909,671.69,2,921.49,32,33,2,921.49
12639,At Risk,0.30270618,0.0,3,1312.37,238,239,3,1312.37
12640,New Customers,0.29322618,1174.58,3,1174.58,23,24,3,1174.58
12641,Low Value,0.82973987,185.9,1,185.9,114,115,1,185.9
12642,New Customers,0.6304636,1013.26,3,1013.26,24,25,3,1013.26
12643,Core Customers,0.3272424,1452.72,12,8350.42,127,128,12,8350.42
12644,At Risk,0.30235258,477.91,4,1918.49,129,130,4,1918.49
12645,Core Customers,0.10348505,976.28,8,3539.3,33,34,8,3539.3
12646,New Customers,0.32632306,1346.97,2,1346.97,4,5,2,1346.97
12647,Champions,0.002314603,1420.51,36,17924.35,21,22,36,17924.35
12648,At Risk,0.46785915,318.05,4,1112.0,154,155,4,1112.0
12649,Core Customers,0.40894923,248.51000000000002,8,2294.65,106,107,8,2294.65
12650,New Customers,0.7992737,314.44,1,314.44,2,3,1,314.44
12651,At Risk,0.72072875,0.0,4,377.75,334,335,4,377.75
12652,At Risk,0.7426211,0.0,2,1017.03,330,331,2,1017.03
12653,At Risk,0.43173608,1430.75,3,4160.83,148,149,3,4160.83
12654,New Customers,0.6855412,264.23,5,601.98,10,11,5,601.98
12655,Low Value,0.7570291,0.0,1,261.35,423,424,1,261.35
12656,Core Customers,0.38074932,2391.57,8,6407.83,16,17,8,6407.83
12657,New Customers,0.3156097,1643.18,4,1643.18,10,11,4,1643.18
12658,New Customers,0.6759882,686.05,1,686.05,18,19,1,686.05
12659,New Customers,0.7564503,91.68,1,91.68,29,30,1,91.68
12660,New Customers,0.7632534,245.1,1,245.1,10,11,1,245.1
12661,Low Value,0.7926729,0.0,1,162.0,435,436,1,162.0
12662,Champions,0.11140072,2011.7,20,6988.02,0,1,20,6988.02
12663,Low Value,0.6659626,0.0,2,239.4,624,625,2,239.4
12664,Core Customers,0.0025773381,3578.3,11,6070.04,7,8,11,6070.04
12665,Low Value,0.7947999,0.0,3,313.6,324,325,3,313.6
12666,At Risk,0.7431252,0.0,1,1248.42,393,394,1,1248.42
12667,New Customers,0.7511291,620.13,1,620.13,57,58,1,620.13
12668,Core Customers,0.0027887842,882.6800000000001,10,11444.68,11,12,10,11444.68
12669,At Risk,0.4948541,471.43,3,2744.0299999999997,150,151,3,2744.0299999999997
12670,Core Customers,0.0025114838,1969.66,7,3760.29,9,10,7,3760.29
12671,At Risk,0.74322605,0.0,1,2622.481,605,606,1,2622.481
12672,Low Value,0.7659506,0.0,2,437.05,329,330,2,437.05
12673,New Customers,0.3635677,389.62,3,1230.02,4,5,3,1230.02
12674,Core Customers,0.6400749,1383.8600000000001,4,1970.6,38,39,4,1970.6
12675,At Risk,0.52178824,0.0,2,958.5,553,554,2,958.5
12676,Core Customers,0.4517908,502.44,11,2843.09,24,25,11,2843.09
12677,Low Value,0.7176141,0.0,2,395.1,554,555,2,395.1
12678,Champions,0.0015751303,11737.1,21,34281.18,41,42,21,34281.18
12679,New Customers,0.6251472,206.64000000000001,4,1113.02,58,59,4,1113.02
12680,New Customers,0.57688016,880.81,4,880.81,0,1,4,880.81
12681,Champions,0.001480152,5032.7,45,30868.28,14,15,45,30868.28
12682,Champions,0.0014451625,7010.93,52,24033.91,3,4,52,24033.91
12683,Champions,0.0019453308,3389.64,21,12696.78,3,4,21,12696.78
12684,Core Customers,0.51202065,1366.53,7,2283.63,7,8,7,2283.63
12685,Core Customers,0.19942924,2863.08,6,2863.08,27,28,6,2863.08
12686,Low Value,0.82246923,0.0,1,178.28,371,372,1,178.28
12687,At Risk,0.8241157,0.0,2,2138.91,480,481,2,2138.91
12688,At Risk,0.75693536,4873.8099999999995,1,4873.8099999999995,113,114,1,4873.8099999999995
12689,New Customers,0.5630022,1247.61,2,1247.61,25,26,2,1247.61
12690,Low Value,0.6997447,0.0,1,389.01,205,206,1,389.01
12691,Core Customers,0.29237422,629.6,7,1170.4,27,28,7,1170.4
12692,Low Value,0.79593426,0.0,1,110.95,636,637,1,110.95
12693,At Risk,0.33493042,225.14000000000001,7,1703.02,126,127,7,1703.02
12694,At Risk,0.3702315,430.17,3,1843.35,69,70,3,1843.35
12695,Core Customers,0.0034777909,492.85,7,1407.1200000000001,6,7,7,1407.1200000000001
12696,At Risk,0.6673079,0.0,2,851.91,434,435,2,851.91
12697,New Customers,0.72929364,957.59,3,957.59,28,29,3,957.59
12698,Low Value,0.72388697,0.0,1,339.75,589,590,1,339.75
12699,Low Value,0.73700166,0.0,1,638.11,417,418,1,638.11
12700,Core Customers,0.49543545,3847.56,4,4939.99,7,8,4,4939.99
12701,Core Customers,0.3835157,460.63,6,2446.41,79,80,6,2446.41
12702,New Customers,0.7404506,219.0,1,219.0,19,20,1,219.0
12703,At Risk,0.24354614,283.55,4,1006.53,70,71,4,1006.53
12704,Core Customers,0.46297863,2340.84,8,2340.84,6,7,8,2340.84
12705,Champions,0.27809122,3704.19,14,11762.1,14,15,14,11762.1
12707,Low Value,0.8039105,0.0,1,603.42,291,292,1,603.42
12708,Core Customers,0.001305468,1374.74,18,5314.1,29,30,18,5314.1
12709,Champions,0.0014833022,4583.39,34,31093.34,14,15,34,31093.34
12710,At Risk,0.55741113,430.06,3,1149.02,96,97,3,1149.02
12711,At Risk,0.4642161,0.0,2,1339.05,611,612,2,1339.05
12712,Champions,0.0013224744,1501.25,21,7193.66,28,29,21,7193.66
12713,New Customers,0.6718807,848.55,1,848.55,0,1,1,848.55
12714,Champions,0.002284286,2946.94,12,14093.71,8,9,12,14093.71
12715,Low Value,0.7285964,353.86,1,353.86,105,106,1,353.86
12716,New Customers,0.69057196,1053.49,2,1053.49,3,4,2,1053.49
12717,At Risk,0.54333234,421.24,3,1308.91,150,151,3,1308.91
12718,Low Value,0.7946429,238.25,1,238.25,70,71,1,238.25
12719,New Customers,0.6488032,644.95,2,644.95,4,5,2,644.95
12720,Champions,0.14514516,3439.96,30,8260.67,2,3,30,8260.67
12721,Core Customers,0.3952373,957.22,8,4013.08,31,32,8,4013.08
12722,At Risk,0.42092207,997.63,4,997.63,84,85,4,997.63
12723,New Customers,0.39672098,725.07,5,725.07,3,4,5,725.07
12724,Core Customers,0.3835543,876.51,7,2317.52,4,5,7,2317.52
12725,At Risk,0.59380233,0.0,4,2694.56,370,371,4,2694.56
12726,Core Customers,0.07247242,1141.78,11,4014.6,27,28,11,4014.6
